file_name,text
MultiCamVideo/train/f35_aperture2.4/scene473/videos/cam08.mp4,a man is standing in front of a building
MultiCamVideo/train/f35_aperture2.4/scene473/videos/cam06.mp4,a man is standing on a pile of wooden pallets
MultiCamVideo/train/f35_aperture2.4/scene473/videos/cam01.mp4,a man in a suit is standing next to some construction equipment
MultiCamVideo/train/f35_aperture2.4/scene473/videos/cam03.mp4,a man is standing next to a pile of construction materials
MultiCamVideo/train/f35_aperture2.4/scene473/videos/cam10.mp4,a man is playing with a skateboard in front of a building
MultiCamVideo/train/f35_aperture2.4/scene473/videos/cam05.mp4,a man is standing in front of a pile of boxes
MultiCamVideo/train/f35_aperture2.4/scene473/videos/cam04.mp4,a man is jumping on a skateboard in front of a building
MultiCamVideo/train/f35_aperture2.4/scene473/videos/cam02.mp4,a man is jumping over a pile of bricks
MultiCamVideo/train/f35_aperture2.4/scene473/videos/cam09.mp4,a woman laying on a bed
MultiCamVideo/train/f35_aperture2.4/scene473/videos/cam07.mp4,a man is doing a jump in front of a shipping container
MultiCamVideo/train/f35_aperture2.4/scene1382/videos/cam08.mp4,a woman in a green shirt and jeans standing on a hill
MultiCamVideo/train/f35_aperture2.4/scene1382/videos/cam06.mp4,a woman in a green shirt standing on a hill
MultiCamVideo/train/f35_aperture2.4/scene1382/videos/cam01.mp4,a woman in a green shirt and jeans standing on a hill
MultiCamVideo/train/f35_aperture2.4/scene1382/videos/cam03.mp4,a woman in a green shirt and jeans standing on a skateboard
MultiCamVideo/train/f35_aperture2.4/scene1382/videos/cam10.mp4,a woman in a green shirt and jeans standing on a hill
MultiCamVideo/train/f35_aperture2.4/scene1382/videos/cam05.mp4,a woman in a green shirt standing on a beach
MultiCamVideo/train/f35_aperture2.4/scene1382/videos/cam04.mp4,a woman in a green shirt standing on a hill
MultiCamVideo/train/f35_aperture2.4/scene1382/videos/cam02.mp4,a woman in a green shirt standing on a beach
MultiCamVideo/train/f35_aperture2.4/scene1382/videos/cam09.mp4,a woman in a green shirt and jeans standing on a hill
MultiCamVideo/train/f35_aperture2.4/scene1382/videos/cam07.mp4,a woman in a green shirt and pants standing on a dirt road
MultiCamVideo/train/f35_aperture2.4/scene419/videos/cam08.mp4,a woman in a pink sweater is standing in a lobby
MultiCamVideo/train/f35_aperture2.4/scene419/videos/cam06.mp4,a woman in a pink sweater is standing in a lobby
MultiCamVideo/train/f35_aperture2.4/scene419/videos/cam01.mp4,a woman is standing in a mall with plants
MultiCamVideo/train/f35_aperture2.4/scene419/videos/cam03.mp4,a woman in a pink sweater is standing in an office
MultiCamVideo/train/f35_aperture2.4/scene419/videos/cam10.mp4,a woman in a pink sweater standing in an empty lobby
MultiCamVideo/train/f35_aperture2.4/scene419/videos/cam05.mp4,a woman is standing in a lobby with her arms outstretched
MultiCamVideo/train/f35_aperture2.4/scene419/videos/cam04.mp4,a woman in a pink sweater is standing in a mall
MultiCamVideo/train/f35_aperture2.4/scene419/videos/cam02.mp4,a large lobby with a large clock and a large plant
MultiCamVideo/train/f35_aperture2.4/scene419/videos/cam09.mp4,a woman in a pink sweater standing in a mall
MultiCamVideo/train/f35_aperture2.4/scene419/videos/cam07.mp4,a woman in a pink sweater standing in a mall
MultiCamVideo/train/f35_aperture2.4/scene221/videos/cam08.mp4,a woman walking down the street in gta v
MultiCamVideo/train/f35_aperture2.4/scene221/videos/cam06.mp4,a woman is walking down the street in gta v
MultiCamVideo/train/f35_aperture2.4/scene221/videos/cam01.mp4,a woman is walking down the street in gta v
MultiCamVideo/train/f35_aperture2.4/scene221/videos/cam03.mp4,a woman is standing on the street in front of a building
MultiCamVideo/train/f35_aperture2.4/scene221/videos/cam10.mp4,a woman is walking on the street in front of a building
MultiCamVideo/train/f35_aperture2.4/scene221/videos/cam05.mp4,a woman is walking on the street in front of a building
MultiCamVideo/train/f35_aperture2.4/scene221/videos/cam04.mp4,a large industrial building with blue barrels
MultiCamVideo/train/f35_aperture2.4/scene221/videos/cam02.mp4,a woman is walking on the street in front of a building
MultiCamVideo/train/f35_aperture2.4/scene221/videos/cam09.mp4,a woman walking down the street near a building
MultiCamVideo/train/f35_aperture2.4/scene221/videos/cam07.mp4,a woman is standing on the street in front of a building
MultiCamVideo/train/f35_aperture2.4/scene1744/videos/cam08.mp4,a man standing in a large room with a large window
MultiCamVideo/train/f35_aperture2.4/scene1744/videos/cam06.mp4,a man standing in a room with a light shining on him
MultiCamVideo/train/f35_aperture2.4/scene1744/videos/cam01.mp4,a man standing in a large room with a lot of furniture
MultiCamVideo/train/f35_aperture2.4/scene1744/videos/cam03.mp4,a man standing in a large room with his arms outstretched
MultiCamVideo/train/f35_aperture2.4/scene1744/videos/cam10.mp4,a man standing in a large room with his arms outstretched
MultiCamVideo/train/f35_aperture2.4/scene1744/videos/cam05.mp4,a man standing in a large room with his arms outstretched
MultiCamVideo/train/f35_aperture2.4/scene1744/videos/cam04.mp4,a man standing in a room with his arms outstretched
MultiCamVideo/train/f35_aperture2.4/scene1744/videos/cam02.mp4,a man standing in a large room with his arms outstretched
MultiCamVideo/train/f35_aperture2.4/scene1744/videos/cam09.mp4,a man standing in a large room with a table and chairs
MultiCamVideo/train/f35_aperture2.4/scene1744/videos/cam07.mp4,a man standing in a room with his arms outstretched
MultiCamVideo/train/f35_aperture2.4/scene2783/videos/cam08.mp4,a man is walking in a parking lot
MultiCamVideo/train/f35_aperture2.4/scene2783/videos/cam06.mp4,a man is walking in a parking lot
MultiCamVideo/train/f35_aperture2.4/scene2783/videos/cam01.mp4,a person is walking in a parking lot
MultiCamVideo/train/f35_aperture2.4/scene2783/videos/cam03.mp4,a person riding a skateboard in a parking lot
